"Table 23 Housing market: simple average house prices by new/other dwellings, type of buyer and  region, United Kingdom, from 1986 1, 2, 3",,,,,,,,,,
Previously DCLG table 503,,,,,,,,,,
,,New dwellings,,Other dwellings,,All dwellings,,First time buyers,,Former owner occupiers
,,Price,,Price,,Price,,Price,,Price
,,£,,£,,£,,£,,£
UNITED KINGDOM,,,,,,,,,,
K02000001,,,,,,,,,,
2009,,"181,000",,"176,000",,"176,000",,"125,000",,"204,000"
2010,,"187,000",,"182,000",,"182,000",,"129,000",,"208,000"
2011,,"183,000",,"171,000",,"171,000",,"122,000",,"198,000"
2012,,"182,000",,"170,000",,"171,000",,"122,000",,"202,000"
2013,,"181,000",,"171,000",,"172,000",,"125,000",,"204,000"
2014,,"197,000",,"180,000",,"182,000",,"133,000",,"218,000"
2015,,"208,000",,"185,000",,"188,000",,"138,000",,"229,000"
2016,,"227,000",,"188,000",,"192,000",,"143,000",,"238,000"
2017,,"237,000",,"186,000",,"192,000",,"143,000",,"241,000"
2018,,"240,000",,"188,000",,"196,000",,"148,000",,"244,000"
2019,,"242,000",,"191,000",,"199,000",,"151,000",,"249,000"
2020,,"250,000",,"204,000",,"210,000",,"158,000",,"261,000"
2021,,"260,000",,"223,000",,"228,000",,"167,000",,"288,000"
,,,,,,,,,,
EAST MIDLANDS,,,,,,,,,,
E12000004,,,,,,,,,,
1986,,"38,000",,"27,000",,"28,000",,"21,000",,"36,000"
1987,,"43,000",,"30,000",,"32,000",,"24,000",,"39,000"
1988,,"54,000",,"39,000",,"41,000",,"29,000",,"50,000"
1989,,"71,000",,"46,000",,"49,000",,"37,000",,"63,000"
1990,,"69,000",,"50,000",,"53,000",,"41,000",,"66,000"
1991,,"68,000",,"53,000",,"56,000",,"42,000",,"68,000"
1992,,"69,000",,"52,000",,"55,000",,"41,000",,"68,000"
1993,,"70,000",,"51,000",,"54,000",,"42,000",,"67,000"
1994,,"71,000",,"52,000",,"55,000",,"42,000",,"71,000"
1995,,"71,000",,"52,000",,"55,000",,"40,000",,"73,000"
1996,,"80,000",,"55,000",,"59,000",,"41,000",,"77,000"
1997,,"84,000",,"58,000",,"62,000",,"44,000",,"78,000"
1998,,"92,000",,"62,000",,"66,000",,"50,000",,"83,000"
1999,,"101,000",,"68,000",,"72,000",,"55,000",,"87,000"
2000,,"111,000",,"74,000",,"79,000",,"59,000",,"94,000"
2001,,"122,000",,"83,000",,"87,000",,"64,000",,"103,000"
2002,,"140,000",,"100,000",,"105,000",,"82,000",,"115,000"
2003,,"170,000",,"130,000",,"132,000",,"91,000",,"141,000"
2004,,"190,000",,"151,000",,"154,000",,"111,000",,"164,000"
2005,,"191,000",,"159,000",,"161,000",,"118,000",,"176,000"
2006,,"194,000",,"162,000",,"164,000",,"117,000",,"192,000"
2007,,"196,000",,"175,000",,"176,000",,"124,000",,"204,000"
2008,,"188,000",,"176,000",,"177,000",,"125,000",,"205,000"
2009,,"171,000",,"172,000",,"172,000",,"122,000",,"200,000"
2010,,"174,000",,"186,000",,"185,000",,"128,000",,"211,000"
2011,,"186,000",,"179,000",,"179,000",,"125,000",,"205,000"
2012,,"188,000",,"175,000",,"177,000",,"125,000",,"205,000"
2013,,"191,000",,"176,000",,"178,000",,"129,000",,"208,000"
2014,,"209,000",,"185,000",,"188,000",,"137,000",,"220,000"
2015,,"220,000",,"195,000",,"199,000",,"145,000",,"237,000"
2016,,"239,000",,"202,000",,"207,000",,"155,000",,"251,000"
2017,,"250,000",,"205,000",,"213,000",,"161,000",,"258,000"
2018,,"266,000",,"213,000",,"222,000",,"169,000",,"271,000"
2019,,"265,000",,"214,000",,"224,000",,"172,000",,"273,000"
2020,,"269,000",,"229,000",,"236,000",,"178,000",,"288,000"
2021,,"279,000",,"254,000",,"258,000",,"193,000",,"313,000"
,,,,,,,,,,
WEST MIDLANDS,,,,,,,,,,
E12000005,,,,,,,,,,
1986,,"41,000",,"27,000",,"28,000",,"21,000",,"37,000"
1987,,"49,000",,"31,000",,"33,000",,"23,000",,"41,000"
1988,,"62,000",,"40,000",,"42,000",,"28,000",,"54,000"
1989,,"78,000",,"47,000",,"50,000",,"34,000",,"68,000"
1990,,"71,000",,"53,000",,"55,000",,"40,000",,"73,000"
1991,,"72,000",,"57,000",,"59,000",,"45,000",,"72,000"
1992,,"71,000",,"56,000",,"58,000",,"44,000",,"72,000"
1993,,"69,000",,"57,000",,"59,000",,"45,000",,"76,000"
1994,,"71,000",,"57,000",,"59,000",,"45,000",,"78,000"
1995,,"78,000",,"59,000",,"62,000",,"43,000",,"83,000"
1996,,"84,000",,"62,000",,"64,000",,"45,000",,"83,000"
1997,,"93,000",,"65,000",,"68,000",,"46,000",,"87,000"
1998,,"93,000",,"69,000",,"72,000",,"53,000",,"90,000"
1999,,"113,000",,"76,000",,"80,000",,"60,000",,"97,000"
2000,,"123,000",,"85,000",,"88,000",,"64,000",,"108,000"
2001,,"131,000",,"95,000",,"98,000",,"68,000",,"116,000"
2002,,"159,000",,"108,000",,"112,000",,"85,000",,"126,000"
2003,,"180,000",,"135,000",,"137,000",,"87,000",,"147,000"
2004,,"194,000",,"158,000",,"162,000",,"108,000",,"171,000"
2005,,"197,000",,"166,000",,"169,000",,"119,000",,"187,000"
2006,,"200,000",,"176,000",,"177,000",,"124,000",,"210,000"
2007,,"197,000",,"184,000",,"185,000",,"130,000",,"218,000"
2008,,"189,000",,"185,000",,"185,000",,"133,000",,"217,000"
2009,,"181,000",,"185,000",,"185,000",,"133,000",,"215,000"
2010,,"187,000",,"202,000",,"201,000",,"138,000",,"232,000"
2011,,"193,000",,"189,000",,"189,000",,"134,000",,"219,000"
2012,,"198,000",,"187,000",,"188,000",,"135,000",,"220,000"
2013,,"195,000",,"190,000",,"191,000",,"137,000",,"228,000"
2014,,"206,000",,"202,000",,"202,000",,"146,000",,"243,000"
2015,,"228,000",,"209,000",,"211,000",,"154,000",,"257,000"
2016,,"245,000",,"216,000",,"219,000",,"163,000",,"271,000"
2017,,"260,000",,"217,000",,"223,000",,"168,000",,"278,000"
2018,,"270,000",,"224,000",,"231,000",,"176,000",,"288,000"
2019,,"279,000",,"223,000",,"232,000",,"179,000",,"289,000"
2020,,"283,000",,"241,000",,"247,000",,"187,000",,"308,000"
2021,,"282,000",,"263,000",,"266,000",,"198,000",,"332,000"
,,,,,,,,,,
EAST OF ENGLAND,,,,,,,,,,
E12000006,,,,,,,,,,
1986,,"50,000",,"42,000",,"43,000",,"32,000",,"53,000"
1987,,"55,000",,"51,000",,"52,000",,"38,000",,"63,000"
1988,,"77,000",,"65,000",,"66,000",,"48,000",,"80,000"
1989,,"84,000",,"72,000",,"74,000",,"54,000",,"95,000"
1990,,"79,000",,"70,000",,"72,000",,"55,000",,"90,000"
1991,,"77,000",,"69,000",,"70,000",,"54,000",,"84,000"
1992,,"72,000",,"64,000",,"65,000",,"50,000",,"81,000"
1993,,"73,000",,"65,000",,"67,000",,"50,000",,"85,000"
1994,,"79,000",,"67,000",,"69,000",,"50,000",,"90,000"
1995,,"83,000",,"67,000",,"70,000",,"49,000",,"92,000"
1996,,"88,000",,"71,000",,"73,000",,"51,000",,"93,000"
1997,,"103,000",,"78,000",,"81,000",,"57,000",,"100,000"
1998,,"112,000",,"85,000",,"89,000",,"65,000",,"108,000"
1999,,"124,000",,"93,000",,"97,000",,"74,000",,"114,000"
2000,,"142,000",,"109,000",,"112,000",,"84,000",,"133,000"
2001,,"160,000",,"124,000",,"128,000",,"95,000",,"147,000"
2002,,"191,000",,"147,000",,"151,000",,"121,000",,"166,000"
2003,,"227,000",,"181,000",,"183,000",,"128,000",,"196,000"
2004,,"239,000",,"199,000",,"203,000",,"146,000",,"215,000"
2005,,"241,000",,"209,000",,"212,000",,"155,000",,"230,000"
2006,,"249,000",,"220,000",,"221,000",,"157,000",,"251,000"
2007,,"236,000",,"238,000",,"238,000",,"169,000",,"269,000"
2008,,"223,000",,"246,000",,"244,000",,"172,000",,"278,000"
2009,,"211,000",,"235,000",,"233,000",,"165,000",,"266,000"
2010,,"229,000",,"264,000",,"261,000",,"183,000",,"293,000"
2011,,"248,000",,"257,000",,"256,000",,"179,000",,"289,000"
2012,,"253,000",,"256,000",,"255,000",,"182,000",,"290,000"
2013,,"277,000",,"257,000",,"258,000",,"186,000",,"299,000"
2014,,"303,000",,"279,000",,"280,000",,"204,000",,"325,000"
2015,,"314,000",,"305,000",,"306,000",,"221,000",,"360,000"
2016,,"335,000",,"326,000",,"326,000",,"236,000",,"396,000"
2017,,"343,000",,"333,000",,"335,000",,"249,000",,"401,000"
2018,,"352,000",,"335,000",,"338,000",,"257,000",,"406,000"
2019,,"351,000",,"336,000",,"339,000",,"259,000",,"408,000"
2020,,"351,000",,"358,000",,"356,000",,"271,000",,"427,000"
2021,,"367,000",,"380,000",,"378,000",,"280,000",,"457,000"
,,,,,,,,,,
LONDON,,,,,,,,,,
E12000007,,,,,,,,,,
1986,,"56,000",,"55,000",,"55,000",,"45,000",,"69,000"
