,v1,date,cpih_all_items_index,cpih_all_items_index_pred,cpih_all_items_index_error
273,453,01/10/2010,90.599998,91.981369,-1.3813705
274,454,01/11/2010,90.900002,92.131882,-1.2318802
275,455,01/12/2010,91.699997,92.282394,-0.58239746
276,456,01/01/2011,91.800003,92.432907,-0.63290405
277,457,01/02/2011,92.300003,92.58342,-0.28341675
278,458,01/03/2011,92.599998,92.73394,-0.13394165
279,459,01/04/2011,93.300003,92.884453,0.41555023
280,460,01/05/2011,93.5,93.034966,0.46503448
281,461,01/06/2011,93.5,93.185478,0.31452179
282,462,01/07/2011,93.5,93.335991,0.16400909
283,463,01/08/2011,93.900002,93.486511,0.4134903
284,464,01/09/2011,94.5,93.637024,0.86297607
285,465,01/10/2011,94.5,93.787537,0.71246338
286,466,01/11/2011,94.699997,93.938049,0.76194763
287,467,01/12/2011,95,94.08857,0.91143036
288,468,01/01/2012,94.699997,94.239082,0.46091461
289,469,01/02/2012,95.199997,94.389595,0.81040192
290,470,01/03/2012,95.400002,94.540108,0.8598938
291,471,01/04/2012,95.900002,94.69062,1.2093811
292,472,01/05/2012,95.900002,94.841141,1.0588608
293,473,01/06/2012,95.599998,94.991653,0.60834503
294,474,01/07/2012,95.699997,95.142166,0.55783081
295,475,01/08/2012,96.099998,95.292679,0.80731964
296,476,01/09/2012,96.400002,95.443192,0.95681
297,477,01/10/2012,96.800003,95.593712,1.2062912
298,478,01/11/2012,97,95.744225,1.2557755
299,479,01/12/2012,97.300003,95.894737,1.4052658
300,480,01/01/2013,97,96.04525,0.95475006
301,481,01/02/2013,97.5,96.19577,1.3042297
302,482,01/03/2013,97.800003,96.346283,1.4537201
303,483,01/04/2013,98,96.496796,1.5032043
304,484,01/05/2013,98.199997,96.647308,1.5526886
305,485,01/06/2013,98,96.797821,1.202179
306,486,01/07/2013,98,96.948341,1.0516586
307,487,01/08/2013,98.400002,97.098854,1.3011475
308,488,01/09/2013,98.699997,97.249367,1.4506302
309,489,01/10/2013,98.800003,97.399879,1.4001236
310,490,01/11/2013,98.800003,97.550392,1.2496109
311,491,01/12/2013,99.199997,97.700912,1.4990845
312,492,01/01/2014,98.699997,97.851425,0.84857178
313,493,01/02/2014,99.099998,98.001938,1.0980606
314,494,01/03/2014,99.300003,98.152451,1.1475525
315,495,01/04/2014,99.599998,98.302971,1.2970276
316,496,01/05/2014,99.599998,98.453484,1.1465149
317,497,01/06/2014,99.800003,98.603996,1.1960068
318,498,01/07/2014,99.599998,98.754509,0.8454895
319,499,01/08/2014,99.900002,98.905022,0.99497986
320,500,01/09/2014,100,99.055542,0.94445801
321,501,01/10/2014,100.1,99.206055,0.89394379
322,502,01/11/2014,99.900002,99.356567,0.54343414
323,503,01/12/2014,99.900002,99.50708,0.39292145
324,504,01/01/2015,99.199997,99.657593,-0.45759583
325,505,01/02/2015,99.5,99.808113,-0.3081131
326,506,01/03/2015,99.599998,99.958626,-0.35862732
327,507,01/04/2015,99.900002,100.10914,-0.20913696
328,508,01/05/2015,100.1,100.25965,-0.15965271
329,509,01/06/2015,100.1,100.41017,-0.31017303
330,510,01/07/2015,100,100.56068,-0.5606842
331,511,01/08/2015,100.3,100.7112,-0.41119385
332,512,01/09/2015,100.2,100.86171,-0.66171265
333,513,01/10/2015,100.3,101.01222,-0.71221924
334,514,01/11/2015,100.3,101.16274,-0.86273956
335,515,01/12/2015,100.4,101.31326,-0.91325378
336,516,01/01/2016,99.900002,101.46377,-1.5637665
337,517,01/02/2016,100.1,101.61428,-1.5142822
338,518,01/03/2016,100.4,101.76479,-1.3647919
339,519,01/04/2016,100.6,101.91531,-1.3153152
340,520,01/05/2016,100.8,102.06583,-1.2658234
341,521,01/06/2016,101,102.21634,-1.2163391
342,522,01/07/2016,100.9,102.36685,-1.4668503
343,523,01/08/2016,101.2,102.51737,-1.3173752
344,524,01/09/2016,101.5,102.66788,-1.1678848
345,525,01/10/2016,101.6,102.8184,-1.218399
346,526,01/11/2016,101.8,102.96891,-1.1689072
347,527,01/12/2016,102.2,103.11942,-0.91942596
348,528,01/01/2017,101.8,103.26994,-1.4699402
349,529,01/02/2017,102.4,103.42046,-1.0204544
350,530,01/03/2017,102.7,103.57097,-0.87097168
351,531,01/04/2017,103.2,103.72148,-0.52148438
352,532,01/05/2017,103.5,103.87199,-0.37199402
353,533,01/06/2017,103.5,104.02251,-0.52251434
354,534,01/07/2017,103.5,104.17303,-0.67302704
355,535,01/08/2017,104,104.32354,-0.32353973
356,536,01/09/2017,104.3,104.47405,-0.17404938
357,537,01/10/2017,104.4,104.62457,-0.22457123
358,538,01/11/2017,104.7,104.77509,-0.075088501
359,539,01/12/2017,105,104.9256,0.074401855
360,540,01/01/2018,104.5,105.07611,-0.57611084
361,541,01/02/2018,104.9,105.22662,-0.32662201
362,542,01/03/2018,105.1,105.37714,-0.27714539
363,543,01/04/2018,105.5,105.52766,-0.027656555
364,544,01/05/2018,105.9,105.67817,0.22183228
365,545,01/06/2018,105.9,105.82868,0.07131958
366,546,01/07/2018,105.9,105.97919,-0.079193115
367,547,01/08/2018,106.5,106.12971,0.37028503
368,548,01/09/2018,106.6,106.28023,0.31977081
369,549,01/10/2018,106.7,106.43074,0.26925659
370,550,01/11/2018,106.9,106.58125,0.31874847
371,551,01/12/2018,107.1,106.73177,0.3682251
372,552,01/01/2019,106.4,106.88229,-0.48228455
373,553,01/02/2019,106.8,107.0328,-0.23279572
374,554,01/03/2019,107,107.18331,-0.18331146
375,555,01/04/2019,107.6,107.33382,0.26617432
376,556,01/05/2019,107.9,107.48434,0.41565704
377,557,01/06/2019,107.9,107.63486,0.26514435
378,558,01/07/2019,108,107.78537,0.21463013
379,559,01/08/2019,108.3,107.93588,0.36412048
380,560,01/09/2019,108.4,108.0864,0.31360626
381,561,01/10/2019,108.3,108.23692,0.063087463
382,562,01/11/2019,108.5,108.38743,0.11257172
383,563,01/12/2019,108.5,108.53794,-0.037940979
384,564,01/01/2020,108.3,108.68845,-0.38845062
385,565,01/02/2020,108.6,108.83897,-0.23897552
386,566,01/03/2020,108.6,108.98949,-0.38948822
387,567,01/04/2020,108.6,109.14,-0.54000092
388,568,01/05/2020,108.6,109.29051,-0.69051361
389,569,01/06/2020,108.8,109.44102,-0.64102173
390,570,01/07/2020,109.2,109.59155,-0.39154816
391,571,01/08/2020,108.8,109.74206,-0.94205475
392,572,01/09/2020,109.2,109.89257,-0.69257355
393,573,01/10/2020,109.2,110.04308,-0.84308624
394,574,01/11/2020,109.1,110.1936,-1.0935974
395,575,01/12/2020,109.4,110.34412,-0.94411469
396,576,01/01/2021,109.3,110.49463,-1.1946259
397,577,01/02/2021,109.4,110.64514,-1.2451401
398,578,01/03/2021,109.7,110.79565,-1.0956573
399,579,01/04/2021,110.4,110.94617,-0.5461731
400,580,01/05/2021,111,111.09669,-0.096687317
401,581,01/06/2021,111.4,111.2472,0.15280151
402,582,01/07/2021,111.4,111.39771,0.002288818
403,583,01/08/2021,112.1,111.54823,0.55177307
404,584,01/09/2021,112.4,111.69875,0.7012558
405,585,01/10/2021,113.4,111.84926,1.5507431
406,586,01/11/2021,114.1,111.99977,2.1002274
407,587,01/12/2021,114.7,112.15028,2.5497131
408,588,01/01/2022,114.6,112.3008,2.299202
409,589,01/02/2022,115.4,112.45132,2.9486847
410,590,01/03/2022,116.5,112.60183,3.8981705
411,591,01/04/2022,119,112.75234,6.2476578
412,592,01/05/2022,119.7,112.90285,6.797142
413,593,01/06/2022,120.5,113.05337,7.4466324
414,594,01/07/2022,121.2,113.20389,7.996109
415,595,01/08/2022,121.8,113.3544,8.4456024
416,596,01/09/2022,122.3,113.50491,8.7950897
417,597,01/10/2022,124.3,113.65543,10.644577
418,598,01/11/2022,124.8,113.80595,10.994057
