,Region,House Price to Earnings Ratio,Date
256,W Mids,3.7,07/01/2000
257,E Anglia,3.9,07/01/2000
258,Outer SE,4.4,07/01/2000
259,Outer Met,5,07/01/2000
260,London,5,07/01/2000
261,S West,4.5,07/01/2000
262,Wales,3.1,07/01/2000
263,Scotland,3.2,07/01/2000
264,N Ireland,3.7,07/01/2000
265,UK,3.6,07/01/2000
266,North,2.7,10/01/2000
267,Yorks & H,3,10/01/2000
268,N West,3.1,10/01/2000
269,E Mids,3.3,10/01/2000
270,W Mids,3.6,10/01/2000
271,E Anglia,3.8,10/01/2000
272,Outer SE,4.3,10/01/2000
273,Outer Met,4.9,10/01/2000
274,London,5.1,10/01/2000
275,S West,4.3,10/01/2000
276,Wales,3.1,10/01/2000
277,Scotland,3.1,10/01/2000
278,N Ireland,3.7,10/01/2000
279,UK,3.6,10/01/2000
280,North,2.8,01/01/2001
281,Yorks & H,3.1,01/01/2001
282,N West,3.2,01/01/2001
283,E Mids,3.4,01/01/2001
284,W Mids,3.7,01/01/2001
285,E Anglia,3.9,01/01/2001
286,Outer SE,4.4,01/01/2001
287,Outer Met,4.9,01/01/2001
288,London,5,01/01/2001
289,S West,4.5,01/01/2001
290,Wales,3.2,01/01/2001
291,Scotland,3.1,01/01/2001
292,N Ireland,3.7,01/01/2001
293,UK,3.7,01/01/2001
294,North,2.7,04/01/2001
295,Yorks & H,3.2,04/01/2001
296,N West,3.2,04/01/2001
297,E Mids,3.5,04/01/2001
298,W Mids,3.7,04/01/2001
299,E Anglia,4,04/01/2001
300,Outer SE,4.5,04/01/2001
301,Outer Met,5.2,04/01/2001
302,London,5.4,04/01/2001
303,S West,4.6,04/01/2001
304,Wales,3.3,04/01/2001
305,Scotland,3.1,04/01/2001
306,N Ireland,3.9,04/01/2001
307,UK,3.8,04/01/2001
308,North,3,07/01/2001
309,Yorks & H,3.2,07/01/2001
310,N West,3.4,07/01/2001
311,E Mids,3.5,07/01/2001
312,W Mids,3.9,07/01/2001
313,E Anglia,4.3,07/01/2001
314,Outer SE,4.7,07/01/2001
315,Outer Met,5.2,07/01/2001
316,London,5.4,07/01/2001
317,S West,4.7,07/01/2001
318,Wales,3.3,07/01/2001
319,Scotland,3.2,07/01/2001
320,N Ireland,3.8,07/01/2001
321,UK,3.9,07/01/2001
322,North,2.9,10/01/2001
323,Yorks & H,3.2,10/01/2001
324,N West,3.4,10/01/2001
325,E Mids,3.6,10/01/2001
326,W Mids,3.9,10/01/2001
327,E Anglia,4.2,10/01/2001
328,Outer SE,4.7,10/01/2001
329,Outer Met,5.2,10/01/2001
330,London,5.5,10/01/2001
331,S West,4.8,10/01/2001
332,Wales,3.3,10/01/2001
333,Scotland,3.1,10/01/2001
334,N Ireland,3.7,10/01/2001
335,UK,3.9,10/01/2001
336,North,2.9,01/01/2002
337,Yorks & H,3.3,01/01/2002
338,N West,3.4,01/01/2002
339,E Mids,3.7,01/01/2002
340,W Mids,4.1,01/01/2002
341,E Anglia,4.4,01/01/2002
342,Outer SE,4.7,01/01/2002
343,Outer Met,5.3,01/01/2002
344,London,5.5,01/01/2002
345,S West,5,01/01/2002
346,Wales,3.4,01/01/2002
347,Scotland,3.2,01/01/2002
348,N Ireland,3.7,01/01/2002
349,UK,3.9,01/01/2002
350,North,3.2,04/01/2002
351,Yorks & H,3.5,04/01/2002
352,N West,3.7,04/01/2002
353,E Mids,4,04/01/2002
354,W Mids,4.3,04/01/2002
355,E Anglia,4.7,04/01/2002
356,Outer SE,5.1,04/01/2002
357,Outer Met,5.6,04/01/2002
358,London,5.8,04/01/2002
359,S West,5.3,04/01/2002
360,Wales,3.6,04/01/2002
361,Scotland,3.3,04/01/2002
362,N Ireland,4,04/01/2002
363,UK,4.2,04/01/2002
364,North,3.4,07/01/2002
365,Yorks & H,3.8,07/01/2002
366,N West,3.9,07/01/2002
367,E Mids,4.3,07/01/2002
368,W Mids,4.6,07/01/2002
369,E Anglia,5,07/01/2002
370,Outer SE,5.5,07/01/2002
371,Outer Met,5.9,07/01/2002
372,London,6.2,07/01/2002
373,S West,5.7,07/01/2002
374,Wales,3.8,07/01/2002
375,Scotland,3.5,07/01/2002
376,N Ireland,4,07/01/2002
377,UK,4.5,07/01/2002
378,North,3.6,10/01/2002
379,Yorks & H,4.1,10/01/2002
380,N West,4,10/01/2002
381,E Mids,4.4,10/01/2002
382,W Mids,4.9,10/01/2002
383,E Anglia,5.2,10/01/2002
384,Outer SE,5.8,10/01/2002
385,Outer Met,6.3,10/01/2002
386,London,6.4,10/01/2002
387,S West,5.9,10/01/2002
388,Wales,4.1,10/01/2002
389,Scotland,3.5,10/01/2002
390,N Ireland,4.1,10/01/2002
391,UK,4.7,10/01/2002
392,North,3.8,01/01/2003
393,Yorks & H,4.1,01/01/2003
394,N West,4.1,01/01/2003
395,E Mids,4.7,01/01/2003
396,W Mids,5.1,01/01/2003
397,E Anglia,5.3,01/01/2003
398,Outer SE,5.9,01/01/2003
399,Outer Met,6.3,01/01/2003
400,London,6.6,01/01/2003
401,S West,6,01/01/2003
402,Wales,4.1,01/01/2003
403,Scotland,3.4,01/01/2003
404,N Ireland,4.1,01/01/2003
405,UK,4.8,01/01/2003
406,North,4.1,04/01/2003
407,Yorks & H,4.4,04/01/2003
408,N West,4.4,04/01/2003
409,E Mids,5,04/01/2003
410,W Mids,5.2,04/01/2003
